Chapter,Unit,Lesson,Topic,Fact,Flashcard_Question,Flashcard_Answer,Quiz_Question,Quiz_Options,Quiz_CorrectAnswer,Quiz_Explanation,Match_Term,Match_Definition,VisualisationIdea
ASSAM,Physiographic Divisions & Conservation,Barak Valley,South Bank Tributaries (Barak),"Cachar, Hailakandi, Karimganj, tea gardens, Son Beel wetland.",What are the key wildlife sanctuaries and wetland sites in Barak Valley?,"Sonai, Rukni, Ghagra, Katakhal, Dhaleshwari, and Longai.",What is the correct East-to-West sequence of South Bank tributaries of the Barak River?,"A: Burhi Dihing, Disang, Dikhou, Bhogdoi; B: Jiri, Chiri, Madhura, Jatinga, Larang; C: Subansiri, Manas, Sankosh, Raidak; D: Sonai, Rukni, Ghagra, Katakhal, Dhaleshwari, Longai",D,"Official Syllabus Fact: Cachar, Hailakandi, Karimganj, tea gardens, Son Beel wetland.",Sonai River,Easternmost south bank tributary of Barak.,Bottom-Up CSS Tree Diagram merging into a thick horizontal central line.
ASSAM,Physiographic Divisions & Conservation,Barak Valley,South Bank Tributaries (Barak),"Tributaries (East to West): Sonai, Rukni, Ghagra, Katakhal, Dhaleshwari, and Longai.",Which south-bank tributaries feed into the river system in Barak Valley?,Dhaleshwari (Tlawng) / Katakhal.,Which South Bank river flows from Mizoram through Hailakandi district to join the Barak River?,A: Sonai; B: Jiri; C: Jatinga; D: Dhaleshwari (Katakhal),D,"Official Syllabus Fact: Sonai, Rukni, Ghagra, Katakhal, Dhaleshwari, and Longai.",Dhaleshwari / Tlawng,Mizoram river entering Hailakandi.,Bottom-Up CSS Tree Diagram merging into a thick horizontal central line.
ASSAM,Physiographic Divisions & Conservation,Ecology,Ecological Frameworks Overview,"Biodiversity Hotspots, WNHS (1985), Biosphere Reserves, 7 National Parks + Sikhna Jwhwlao NP (2025), Wildlife Sanctuaries, Bird Sanctuaries, and Deepor Beel Ramsar Site.",What are the major declared National Parks located in Ecology?,Eastern Himalayas and Indo-Burma Hotspots.,Which two global Biodiversity Hotspots overlap across Assam?,A: Western Ghats and Sundaland; B: Eastern Himalayas and Indo-Burma; C: Himalayas and Western Ghats; D: Indo-Burma and Sundaland,B,"Official Syllabus Fact: Biodiversity Hotspots, WNHS (1985), Biosphere Reserves, 7 National Parks + Sikhna Jwhwlao NP (2025), Wildlife Sanctuaries, Bird Sanctuaries, and Deepor Beel Ramsar Site.",Assam Hotspots,Eastern Himalayas and Indo-Burma.,Interactive SVG/CSS concept breakdown for Ecological Frameworks Overview in Ecology.
ASSAM,Physiographic Divisions & Conservation,Ecology,Biodiversity Hotspots (BH),Assam falls within two distinct global hotspots: the Eastern Himalayas and the Indo-Burma hotspot.,What ecological markers and conservation zones define Ecology?,Eastern Himalayas and Indo-Burma Hotspots.,Which two global Biodiversity Hotspots overlap across the state of Assam?,A: Himalayas and Western Ghats; B: Indo-Burma and Sundaland; C: Western Ghats and Sundaland; D: Eastern Himalayas and Indo-Burma,D,Official Syllabus Fact: the Eastern Himalayas and the Indo-Burma hotspot.,Eastern Himalayas Hotspot,Foothill duars & northern Assam.,Interactive SVG/CSS concept breakdown for Biodiversity Hotspots (BH) in Ecology.
ASSAM,Physiographic Divisions & Conservation,Ecology,World Natural Heritage Sites (WNHS),Kaziranga National Park (1985) and Manas Wildlife Sanctuary (1985).,What is a key geographical feature of World Natural Heritage Sites (WNHS) in Ecology?,Kaziranga National Park and Manas Wildlife Sanctuary.,In which year were Kaziranga National Park and Manas Wildlife Sanctuary officially inscribed as UNESCO World Natural Heritage Sites?,A: 2000; B: 1974; C: 1992; D: 1985,D,Official Syllabus Fact: Kaziranga National Park (1985) and Manas Wildlife Sanctuary (1985).,Kaziranga WNHS Inscription,1985 (1-horned rhino & tiger refuge).,Interactive SVG/CSS concept breakdown for World Natural Heritage Sites (WNHS) in Ecology.
ASSAM,Physiographic Divisions & Conservation,Ecology,Biosphere Reserves (BR),Manas Biosphere Reserve (foothills) and Dibru-Saikhowa Biosphere Reserve (765 sq. km).,What ecological markers and conservation zones define Ecology?,Manas Biosphere Reserve (foothills) and Dibru-Saikhowa Biosphere Reserve (765 sq. km).,Which two Biosphere Reserves are situated in Assam?,A: Manas BR and Dibru-Saikhowa BR; B: Khangchendzonga BR and Nilgiri BR; C: Nokrek BR and Dehang-Debang BR; D: Sunderbans BR and Similipal BR,A,Official Syllabus Fact: Manas Biosphere Reserve (foothills) and Dibru-Saikhowa Biosphere Reserve (765 sq. km).,Manas BR Notification,"1989 (2,837 sq. km).",Two distinct CSS rounded floating containers (Manas and Dibru-Saikhowa) with a subtle riverine background texture.
ASSAM,Physiographic Divisions & Conservation,Ecology,7 Declared National Parks (NP),"Kaziranga NP (1974), Manas NP (1990), Nameri NP (1998), Dibru-Saikhowa NP (1999), Orang NP (1999), Dehing Patkai NP (2021), Raimona NP (2021), plus Sikhna Jwhwlao NP (2025).",What are the major declared National Parks located in Ecology?,"Kaziranga NP (1974), Manas NP (1990), Nameri NP (1998), Dibru-Saikhowa NP (1999), Orang NP (1999), Dehing Patkai NP (2021), Raimona NP (2021).",Which is the oldest declared National Park in Assam (declared in 1974)?,A: Orang NP; B: Manas NP; C: Nameri NP; D: Kaziranga NP,D,"Official Syllabus Fact: Kaziranga NP (1974), Manas NP (1990), Nameri NP (1998), Dibru-Saikhowa NP (1999), Orang NP (1999), Dehing Patkai NP (2021), Raimona NP (2021), plus Sikhna Jwhwlao NP (2025).",Kaziranga NP,1974 (Oldest NP in Assam).,Interactive SVG/CSS concept breakdown for 7 Declared National Parks (NP) in Ecology.
ASSAM,Physiographic Divisions & Conservation,Ecology,Sanctuaries & Wetlands,"Key Wildlife Sanctuaries: Pobitora WS (Morigaon, highest density of one-horned rhino), Hollongapar Gibbon Sanctuary (Jorhat, India only ape - Hoolock Gibbon), Bornadi WS (Udalguri/Baksa, hispid hare & pygmy hog), Chakrashila WS (Dhubri/Kokrajhar, golden langur), Deepor Beel WS (Kamrup Metro, major Ramsar wetland site for water birds).",What are the key wildlife sanctuaries and wetland sites in Ecology?,Pobitora Wildlife Sanctuary.,Which Wildlife Sanctuary in Morigaon district is known for having the world highest density of Indian one-horned rhinoceroses?,A: Bornadi Wildlife Sanctuary; B: Amchang Wildlife Sanctuary; C: Pobitora Wildlife Sanctuary; D: Hollongapar Gibbon Sanctuary,C,"Official Syllabus Fact: Pobitora WS (Morigaon, highest density of one-horned rhino), Hollongapar Gibbon Sanctuary (Jorhat, India only ape - Hoolock Gibbon), Bornadi WS (Udalguri/Baksa, hispid hare & pygmy hog), Chakrashila WS (Dhubri/Kokrajhar, golden langur), Deepor Beel WS (Kamrup Metro, major Ramsar wetland site for water birds).",Pobitora WS,Morigaon; highest density of one-horned rhino.,Interactive SVG/CSS concept breakdown for Sanctuaries & Wetlands in Ecology.
ASSAM,Physiographic Divisions & Conservation,Ecology,Sanctuaries & Wetlands,"Complete List of Sanctuaries in Assam: Amchang WS (Kamrup Metro), Borail WS (Cachar & Dima Hasao), Bherjan-Borajan-Padumoni WS (Tinsukia), Bura-Chapori WS (Sonitpur), East Karbi Anglong WS (Karbi Anglong), Garampani WS (Karbi Anglong, oldest & smallest), Laokhowa WS (Nagaon), Marat Longri WS (Karbi Anglong, biggest), Nambor WS (Karbi Anglong), Nambor-Doigrung WS (Golaghat), Pani Dihing WS (Sibsagar), Sonai Rupai WS (Sonitpur).",What are the key wildlife sanctuaries and wetland sites in Ecology?,Hollongapar Gibbon Sanctuary.,"Which sanctuary in Jorhat district protects India only wild ape species, the Hoolock Gibbon?",A: Chakrashila Wildlife Sanctuary; B: Nambor Wildlife Sanctuary; C: Hollongapar Gibbon Sanctuary; D: Garampani Wildlife Sanctuary,C,"Official Syllabus Fact: Amchang WS (Kamrup Metro), Borail WS (Cachar & Dima Hasao), Bherjan-Borajan-Padumoni WS (Tinsukia), Bura-Chapori WS (Sonitpur), East Karbi Anglong WS (Karbi Anglong), Garampani WS (Karbi Anglong, oldest & smallest), Laokhowa WS (Nagaon), Marat Longri WS (Karbi Anglong, biggest), Nambor WS (Karbi Anglong), Nambor-Doigrung WS (Golaghat), Pani Dihing WS (Sibsagar), Sonai Rupai WS (Sonitpur).",Hollongapar Gibbon WS,Jorhat; India only ape (Hoolock Gibbon).,Interactive SVG/CSS concept breakdown for Sanctuaries & Wetlands in Ecology.
ASSAM,Physiographic Divisions & Conservation,Ecology,Sanctuaries & Wetlands,"Wetland Marvels: Son Beel (Karimganj, largest wetland in Assam), Chandubi Beel (Kamrup, natural earthquake lake).",What are the key wildlife sanctuaries and wetland sites in Ecology?,Bornadi Wildlife Sanctuary.,Which sanctuary in Dhubri and Kokrajhar districts is famous as a secure habitat for the endangered Golden Langur?,A: Chakrashila Wildlife Sanctuary; B: Pobitora Wildlife Sanctuary; C: Bura-Chapori Wildlife Sanctuary; D: Sonai Rupai Wildlife Sanctuary,A,"Official Syllabus Fact: Son Beel (Karimganj, largest wetland in Assam), Chandubi Beel (Kamrup, natural earthquake lake).",Bornadi WS,Udalguri/Baksa; hispid hare & pygmy hog.,Interactive SVG/CSS concept breakdown for Sanctuaries & Wetlands in Ecology.
ASSAM,Physiographic Divisions & Conservation,Wildlife Reserves,Mega-fauna Project Reserves,Project Tiger (4 Reserves) and Project Elephant (5 Reserves).,What are the designated mega-fauna project reserves in Wildlife Reserves?,Project Tiger (4 Reserves) and Project Elephant (5 Reserves).,What comprises the Mega-fauna Project Reserves of Assam?,A: Project Snow Leopard and Project Dolphin; B: Project Tiger (4 Reserves) and Project Elephant (5 Reserves); C: Project Lion and Project Cheetah; D: Project Rhino and Project Great Indian Bustard,B,Official Syllabus Fact: Project Tiger (4 Reserves) and Project Elephant (5 Reserves).,Mega-fauna Project Reserves Definition,Project Tiger (4 Reserves) and Project Elephant (5 Reserves).,Interactive SVG/CSS concept breakdown for Mega-fauna Project Reserves in Wildlife Reserves.
ASSAM,Physiographic Divisions & Conservation,Wildlife Reserves,Mega-fauna Project Reserves,"Project Tiger (TR, 1973): Assam has 4 Tiger Reserves: Manas TR, Nameri TR, Kaziranga TR, and Orang TR.",What are the designated mega-fauna project reserves in Wildlife Reserves?,1973.,How many Tiger Reserves (governed under Project Tiger 1973) are located in Assam?,A: 4; B: 5; C: 7; D: 3,A,Official Syllabus Fact: Assam has 4 Tiger Reserves,Project Tiger Launch,1973.,Interactive SVG/CSS concept breakdown for Mega-fauna Project Reserves in Wildlife Reserves.
ASSAM,Physiographic Divisions & Conservation,Wildlife Reserves,Mega-fauna Project Reserves,"Project Elephant (ER, 1992): Assam has 5 Elephant Reserves: Kaziranga-Karbi Anglong ER (largest at 3,270 sq. km), Dhansiri-Lungding ER, Chirang-Ripu ER, Sonitpur ER, and Dihing Patkai ER.",What are the designated mega-fauna project reserves in Wildlife Reserves?,"4 Tiger Reserves (Manas, Nameri, Kaziranga, Orang).","Which is the largest Elephant Reserve in Assam by total area (3,270 sq. km)?",A: Sonitpur ER; B: Dhansiri-Lungding ER; C: Kaziranga-Karbi Anglong ER; D: Chirang-Ripu ER,C,Official Syllabus Fact: Assam has 5 Elephant Reserves,Assam Tiger Reserves Count,4 Tiger Reserves.,Interactive SVG/CSS concept breakdown for Mega-fauna Project Reserves in Wildlife Reserves.
ASSAM,Physiographic Divisions & Conservation,Transport,National Highways (NH),Assam acts as the transit hub for Northeast India with an extensive network of National Highways connecting all Seven Sister states.,What are the primary transport corridors and waterways in Transport?,NH-27 (formerly NH-37).,"Which bridge is the longest water bridge in India, located in Assam?",A: Saraighat Bridge; B: Kalia Bhomora Setu; C: Bogibeel Bridge; D: Bhupen Hazarika Setu (Dhola-Sadiya Bridge),D,Official Syllabus Fact: Assam acts as the transit hub for Northeast India with an extensive network of National Highways connecting all Seven Sister states.,NH-27,East-west lifeline highway of Assam connecting Srirampur to Sadiya.,Interactive roadmap highlighting key national highways (NH-27) across Assam.
ASSAM,Physiographic Divisions & Conservation,Transport,National Highways (NH),Key Highways: NH-27 (formerly NH-37) is the lifeline corridor traversing Assam east-west from Srirampur to Silchar/Sadiya.,What are the primary transport corridors and waterways in Transport?,Bhupen Hazarika Setu (Dhola-Sadiya Bridge).,Which NH runs along the North Bank of the Brahmaputra River in Assam?,A: NH-15; B: NH-27; C: NH-17; D: NH-2,A,Official Syllabus Fact: NH-27 (formerly NH-37) is the lifeline corridor traversing Assam east-west from Srirampur to Silchar/Sadiya.,Dhola-Sadiya Bridge,"Bhupen Hazarika Setu, connecting NH networks across Lohit River.",Interactive roadmap highlighting key national highways (NH-27) across Assam.
ASSAM,Physiographic Divisions & Conservation,Transport,National Highways (NH),Connectivity: Bridges like Bhupen Hazarika Setu (Dhola-Sadiya) and Bogibeel Bridge connect crucial NH networks across the Brahmaputra River.,What is the geographical significance of Connectivity in Transport?,NH-15.,Which Setu connects Tezpur on the North Bank to Nagaon on the South Bank?,A: Bhupen Hazarika Setu; B: Kalia Bhomora Setu; C: Naranarayan Setu; D: Saraighat Setu,B,Official Syllabus Fact: Bridges like Bhupen Hazarika Setu (Dhola-Sadiya) and Bogibeel Bridge connect crucial NH networks across the Brahmaputra River.,NH-15,Runs along the North Bank of Brahmaputra River.,Interactive roadmap highlighting key national highways (NH-27) across Assam.
ASSAM,Physiographic Divisions & Conservation,Transport,Railways,"Administered by the Northeast Frontier Railway (NFR) zone headquartered in Maligaon, Guwahati.",What are the primary transport corridors and waterways in Transport?,Northeast Frontier Railway (NFR) zone.,Where is the headquarters of the Northeast Frontier Railway (NFR) located?,A: Tinsukia; B: Maligaon (Guwahati); C: Siliguri; D: Lumding,B,"Official Syllabus Fact: Administered by the Northeast Frontier Railway (NFR) zone headquartered in Maligaon, Guwahati.",NFR Headquarters,"Maligaon, Guwahati.",Schematic route map showing Northeast Frontier Railway (NFR) routes and divisions.
ASSAM,Physiographic Divisions & Conservation,Transport,Railways,Network: Extensive broad gauge railway tracks connect Upper Assam to Lower Assam and the rest of mainland India via the Siliguri Corridor.,What are the primary transport corridors and waterways in Transport?,"Maligaon, Guwahati.",Which is the longest rail-cum-road bridge in India?,A: Bogibeel Bridge; B: Bhupen Hazarika Setu; C: Naranarayan Setu; D: Saraighat Bridge,A,Official Syllabus Fact: Extensive broad gauge railway tracks connect Upper Assam to Lower Assam and the rest of mainland India via the Siliguri Corridor.,Bogibeel Bridge,Longest rail-cum-road bridge in India.,Schematic route map showing Northeast Frontier Railway (NFR) routes and divisions.
ASSAM,Physiographic Divisions & Conservation,Transport,Railways,"Landmark Projects: Bogibeel Bridge is the longest rail-cum-road bridge in India, providing seamless connectivity between north and south banks.",What is the geographical significance of Landmark Projects in Transport?,Bogibeel Bridge (4.94 km).,Which two main railway junctions are connected by the scenic Hill Section?,A: Lumding and Badarpur; B: Badarpur and Silchar; C: Guwahati and Lumding; D: Rangiya and Tezpur,A,"Official Syllabus Fact: Bogibeel Bridge is the longest rail-cum-road bridge in India, providing seamless connectivity between north and south banks.",Hill Section,Broad gauge track connecting Lumding to Badarpur.,Schematic route map showing Northeast Frontier Railway (NFR) routes and divisions.
ASSAM,Physiographic Divisions & Conservation,Transport,National Waterways (NW),National Waterway 2 (NW-2) comprises the Brahmaputra River running from Sadiya to Dhubri (891 km).,What are the primary transport corridors and waterways in Transport?,The Brahmaputra River from Sadiya to Dhubri.,What is the total length of National Waterway 2 (NW-2) along the Brahmaputra River?,A: 650 km; B: 720 km; C: 930 km; D: 891 km,D,Official Syllabus Fact: National Waterway 2 (NW-2) comprises the Brahmaputra River running from Sadiya to Dhubri (891 km).,NW-2 Length,891 km stretch along the Brahmaputra River.,River shipping lane diagram tracking National Waterway 2 (NW-2) along the Brahmaputra River from Sadiya to Dhubri.
ASSAM,Physiographic Divisions & Conservation,Transport,National Waterways (NW),"National Waterway 57 (NW-57): Developed on the Kopili River, spanning 48 km from the Brahmaputra confluence to the Teliagaon Railway Bridge, operationalized in August 2025.",What are the primary transport corridors and waterways in Transport?,Pandu Port.,Which river in Assam is designated as National Waterway 57 (NW-57)?,A: Barak River; B: Subansiri River; C: Kopili River; D: Dhansiri River,C,"Official Syllabus Fact: Developed on the Kopili River, spanning 48 km from the Brahmaputra confluence to the Teliagaon Railway Bridge, operationalized in August 2025.",Pandu Port,The main river port terminal in Guwahati.,River shipping lane diagram tracking National Waterway 2 (NW-2) along the Brahmaputra River from Sadiya to Dhubri.
ASSAM,Physiographic Divisions & Conservation,Transport,National Waterways (NW),"Infrastructure: Pandu Port in Guwahati is the largest and most developed river port in Assam, serving as an inland water terminal.",What is the geographical significance of Infrastructure in Transport?,National Waterway 57 (NW-57).,Which statement identifies statement describes the geographical significance of Infrastructure in Transport?,"A: It forms part of the mangrove delta wetlands in the Sundarbans of West Bengal.; B: Pandu Port in Guwahati is the largest and most developed river port in Assam, serving as an inland water terminal.; C: It is a major south-flowing river basin originating near Mahabaleshwar in the Western Ghats.; D: It is an isolated coral atoll reef structure in the Lakshadweep archipelago.",B,"Official ASSAM Syllabus Fact: Pandu Port in Guwahati is the largest and most developed river port in Assam, serving as an inland water terminal.",NW-57,National Waterway developed on the Kopili River (48 km).,River shipping lane diagram tracking National Waterway 2 (NW-2) along the Brahmaputra River from Sadiya to Dhubri.
ASSAM,Physiographic Divisions & Conservation,Transport,National Waterways (NW),Logistics: Promotes eco-friendly and cost-effective bulk cargo trade connecting Northeast India to international ports via Bangladesh.,What is the geographical significance of Logistics in Transport?,Promotes eco-friendly and cost-effective bulk cargo trade connecting Northeast India to international ports via Bangladesh.,Which statement identifies statement describes the geographical significance of Logistics in Transport?,A: Promotes eco-friendly and cost-effective bulk cargo trade connecting Northeast India to international ports via Bangladesh.; B: It forms part of the mangrove delta wetlands in the Sundarbans of West Bengal.; C: It is a high-altitude glaciated valley situated in the Pir Panjal range of Jammu & Kashmir.; D: It is an isolated coral atoll reef structure in the Lakshadweep archipelago.,A,Official ASSAM Syllabus Fact: Promotes eco-friendly and cost-effective bulk cargo trade connecting Northeast India to international ports via Bangladesh.,,,River shipping lane diagram tracking National Waterway 2 (NW-2) along the Brahmaputra River from Sadiya to Dhubri.
NE,Arunachal Pradesh,Arunachal Pradesh,Arunachal Pradesh Profile,Capital: Itanagar.,What is the capital city of Arunachal Pradesh?,Itanagar,What is the capital city of Arunachal Pradesh?,A: Itanagar; B: Imphal; C: Dispur; D: Shillong,A,Official Syllabus Fact: Itanagar.,Arunachal Pradesh Capital,Itanagar,Interactive SVG/CSS concept breakdown for Arunachal Pradesh Profile in Arunachal Pradesh.
NE,Arunachal Pradesh,Arunachal Pradesh,Arunachal Pradesh Profile,"State Symbols: Mithun (Animal), Great Hornbill (Bird), Foxtail Orchid (Flower).","What are the official state symbols (animal, bird, flower) of Arunachal Pradesh?",Mithun (Bos frontalis),Which animal is recognized as the official State Animal of Arunachal Pradesh?,A: Dispur; B: Mithun (Bos frontalis); C: Itanagar; D: Imphal,B,"Official Syllabus Fact: Mithun (Animal), Great Hornbill (Bird), Foxtail Orchid (Flower).",Arunachal Pradesh State Animal,Mithun (Bos frontalis),Interactive SVG/CSS concept breakdown for Arunachal Pradesh Profile in Arunachal Pradesh.
NE,Arunachal Pradesh,Arunachal Pradesh,Arunachal Pradesh Profile,"Special Conserved Fauna: Snow Leopard, Red Panda, Hoolock Gibbon.",What is the geographical significance of Special Conserved Fauna in Arunachal Pradesh?,Great Hornbill (Buceros bicornis),Which species is the official State Bird of Arunachal Pradesh?,A: Dispur; B: Itanagar; C: Imphal; D: Great Hornbill (Buceros bicornis),D,"Official Syllabus Fact: Snow Leopard, Red Panda, Hoolock Gibbon.",Arunachal Pradesh State Bird,Great Hornbill (Buceros bicornis),Interactive SVG/CSS concept breakdown for Arunachal Pradesh Profile in Arunachal Pradesh.
